Player,Nation,Team,Age,Matches Played,Starts,Minutes,Goals,Goals.1,Goals.2,Goals.3,Assists,Assists.1,Assists.2,Assists.3,Yellow Cards,Red Cards,xG,PrgC,PrgR,SoT%,SoT/90,G/Sh,Dist,Passes Completed,Passes Completed.1,Passes Completed.2,Passes Completed.3,Passes Completed.4,Passes Completed.5,Passes Completed.6,Passes Completed.7,Passes Completed.8,Passes Completed.9,Passes Completed.10,Passes Completed.11,Passes Completed.12,Passes Completed.13,Passes Completed.14,Passes Completed.15,Cmp%,Cmp%.1,Cmp%.2,Cmp%.3,Cmp%.4,Cmp%.5,Cmp%.6,Cmp%.7,Cmp%.8,Cmp%.9,Cmp%.10,Cmp%.11,Cmp%.12,Cmp%.13,Cmp%.14,Cmp%.15,Pass Distance,SCA,SCA90,GCA,GCA90,Tackles,Tackles.1,Tackles.2,Tackles.3,Tackles Won,Challenges,Challenges Lost,Blocks,Shot Blocks,Pass Blocks,Interceptions,Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Take-ons Attempted,Take-ons Success%,Tkld%,Carries,Carry Distance,Carry to Pen Area,Carry to 1/3,Miscontrols,Dispossessed,Passes Received,Fouls Committed,Fouled,Offsides,Crosses,Recoveries,Aerials Won,Aerials Lost,Aerial Win%,TransferValue
Aaron Ramsdale,eng ENG,Southampton,26-361,27,27,2430.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0,0.0,0,0,N/a,0.0,N/a,N/a,715,199,276,234,715,199,276,234,715,199,276,234,715,199,276,234,64.6,99.5,96.2,38.6,64.6,99.5,96.2,38.6,64.6,99.5,96.2,38.6,64.6,99.5,96.2,38.6,20052,3,0.11,0,0.0,0,0,0,0,0,2,2,0,0,0,2,1189,860,1166,26,0,0,0,N/a,N/a,723,3682,0,0,3,0,646,1,4,0,0,20,5,0,100.0,
Aaron Wan-Bissaka,eng ENG,West Ham,27-165,33,32,2884.0,2,0.06,2,0.06,3,0.09,3,0.09,1,0,1.2,101,150,31.3,0.16,0.13,15.1,1321,846,411,46,1321,846,411,46,1321,846,411,46,1321,846,411,46,80.5,89.9,81.1,46.0,80.5,89.9,81.1,46.0,80.5,89.9,81.1,46.0,80.5,89.9,81.1,46.0,18817,85,2.65,8,0.25,64,20,64,20,45,27,7,32,9,23,60,2039,136,628,877,564,44,108,52.8,34.3,961,6100,13,59,31,21,1174,22,25,4,70,163,22,30,42.3,
Abdoulaye Doucouré,ml MLI,Everton,32-129,30,29,2425.0,3,0.11,3,0.11,1,0.04,1,0.04,5,1,3.9,40,91,31.0,0.33,0.10,13.8,676,354,250,40,676,354,250,40,676,354,250,40,676,354,250,40,79.6,85.1,83.1,72.7,79.6,85.1,83.1,72.7,79.6,85.1,83.1,72.7,79.6,85.1,83.1,72.7,10229,54,2.0,2,0.07,45,13,45,13,27,39,26,30,6,24,9,1090,31,218,502,385,59,43,53.5,46.5,571,2839,8,24,33,35,705,46,5,10,23,139,29,43,40.3,
Adam Smith,eng ENG,Bournemouth,34-011,22,17,1409.0,0,0.0,0,0.0,0,0.0,0,0.0,6,0,0.7,12,31,0.0,0.0,0.00,16.9,436,213,182,27,436,213,182,27,436,213,182,27,436,213,182,27,75.7,88.0,78.1,37.5,75.7,88.0,78.1,37.5,75.7,88.0,78.1,37.5,75.7,88.0,78.1,37.5,7088,20,1.28,2,0.13,21,12,21,12,10,25,13,12,5,7,14,707,39,217,332,162,6,15,40.0,40.0,305,1295,0,15,10,6,333,15,11,0,30,43,12,13,48.0,
Adam Wharton,eng ENG,Crystal Palace,20-342,20,16,1318.0,0,0.0,0,0.0,2,0.14,2,0.14,2,0,0.4,14,11,38.5,0.34,0.00,25.4,548,208,258,70,548,208,258,70,548,208,258,70,548,208,258,70,75.6,82.5,80.1,65.4,75.6,82.5,80.1,65.4,75.6,82.5,80.1,65.4,75.6,82.5,80.1,65.4,10271,59,4.03,6,0.41,34,17,34,17,14,44,27,11,2,9,20,871,30,204,462,212,11,10,20.0,80.0,430,2014,2,23,17,13,533,12,21,0,39,102,7,16,30.4,
Adam Armstrong,eng ENG,Southampton,28-089,20,15,1248.0,2,0.14,2,0.14,2,0.14,2,0.14,4,0,3.3,25,79,28.0,0.5,0.08,16.6,231,138,81,6,231,138,81,6,231,138,81,6,231,138,81,6,80.2,87.3,85.3,46.2,80.2,87.3,85.3,46.2,80.2,87.3,85.3,46.2,80.2,87.3,85.3,46.2,3320,19,1.37,4,0.29,12,3,12,3,3,14,11,6,1,5,3,377,11,44,143,192,49,14,42.9,57.1,235,1324,6,13,11,18,286,12,5,9,14,23,5,9,35.7,
Adama Traoré,es ESP,Fulham,29-105,33,16,1592.0,2,0.11,2,0.11,6,0.34,6,0.34,3,0,3.9,89,145,29.7,0.62,0.05,14.3,386,214,130,27,386,214,130,27,386,214,130,27,386,214,130,27,72.0,81.4,73.4,55.1,72.0,81.4,73.4,55.1,72.0,81.4,73.4,55.1,72.0,81.4,73.4,55.1,6023,76,4.3,9,0.51,17,5,17,5,12,13,8,7,0,7,1,737,4,75,260,424,88,93,50.5,37.6,490,4164,33,42,34,21,556,20,29,1,92,78,24,26,48.0,
Alejandro Garnacho,ar ARG,Manchester Utd,20-313,34,23,2146.0,6,0.25,6,0.25,2,0.08,2,0.08,3,0,7.2,139,281,34.9,1.22,0.07,17.2,635,395,180,30,635,395,180,30,635,395,180,30,635,395,180,30,79.1,88.6,82.9,60.0,79.1,88.6,82.9,60.0,79.1,88.6,82.9,60.0,79.1,88.6,82.9,60.0,8921,81,3.4,6,0.25,29,12,29,12,18,36,24,19,0,19,13,1132,13,128,360,662,170,87,29.9,60.9,819,6204,66,72,63,48,864,12,41,10,52,108,3,23,11.5,
Alex Iwobi,ng NGA,Fulham,29-007,35,33,2796.0,9,0.29,9,0.29,6,0.19,6,0.19,1,0,4.6,135,224,44.4,0.9,0.14,18.2,1057,526,419,93,1057,526,419,93,1057,526,419,93,1057,526,419,93,74.4,85.8,77.7,53.8,74.4,85.8,77.7,53.8,74.4,85.8,77.7,53.8,74.4,85.8,77.7,53.8,18132,115,3.7,16,0.52,39,19,39,19,23,30,11,25,1,24,13,1724,31,228,691,831,109,87,49.4,44.8,1218,7409,37,102,55,38,1345,17,17,5,120,126,6,31,16.2,
Alex Palmer,eng ENG,Ipswich Town,28-273,11,11,990.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0,0.0,0,0,N/a,0.0,N/a,N/a,241,46,107,88,241,46,107,88,241,46,107,88,241,46,107,88,67.7,95.8,100.0,43.8,67.7,95.8,100.0,43.8,67.7,95.8,100.0,43.8,67.7,95.8,100.0,43.8,7340,2,0.18,0,0.0,0,0,0,0,0,0,0,0,0,0,0,400,334,393,8,0,0,0,N/a,N/a,180,1022,0,0,1,0,132,1,2,0,0,15,4,0,100.0,
Alexander Isak,se SWE,Newcastle Utd,25-231,32,32,2577.0,23,0.8,23,0.8,6,0.21,6,0.21,1,0,19.9,81,200,42.0,1.29,0.22,14.6,479,285,147,24,479,285,147,24,479,285,147,24,479,285,147,24,74.5,83.8,77.4,63.2,74.5,83.8,77.4,63.2,74.5,83.8,77.4,63.2,74.5,83.8,77.4,63.2,6849,89,3.11,14,0.49,12,5,12,5,5,13,8,18,2,16,3,960,20,55,361,558,178,88,47.7,50.0,574,3566,43,41,62,52,681,25,13,20,15,55,26,52,33.3,
Alexis Mac Allister,ar ARG,Liverpool,26-137,34,30,2575.0,5,0.17,5,0.17,5,0.17,5,0.17,6,0,2.8,34,79,34.2,0.45,0.13,18.1,1260,650,489,88,1260,650,489,88,1260,650,489,88,1260,650,489,88,83.5,90.2,88.4,55.7,83.5,90.2,88.4,55.7,83.5,90.2,88.4,55.7,83.5,90.2,88.4,55.7,20147,119,4.16,15,0.52,95,55,95,55,58,104,49,61,6,55,22,1845,55,280,956,630,60,42,38.1,50.0,906,3703,5,42,31,22,1217,61,40,2,85,146,19,34,35.8,
Alisson,br BRA,Liverpool,32-220,25,25,2238.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,N/a,0.0,N/a,N/a,681,205,360,115,681,205,360,115,681,205,360,115,681,205,360,115,83.6,99.0,98.6,48.1,83.6,99.0,98.6,48.1,83.6,99.0,98.6,48.1,83.6,99.0,98.6,48.1,14999,6,0.24,1,0.04,1,0,1,0,0,1,1,0,0,0,0,860,622,844,16,0,0,1,100.0,0.0,550,2187,0,0,1,0,525,0,2,0,0,42,6,0,100.0,
Alphonse Areola,fr FRA,West Ham,32-072,24,23,2080.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,N/a,0.0,N/a,N/a,633,137,306,187,633,137,306,187,633,137,306,187,633,137,306,187,69.3,99.3,95.3,42.2,69.3,99.3,95.3,42.2,69.3,99.3,95.3,42.2,69.3,99.3,95.3,42.2,16971,3,0.13,0,0.0,2,2,2,2,2,3,1,0,0,0,0,967,769,958,10,0,0,0,N/a,N/a,553,2225,0,0,0,0,510,0,0,0,0,27,2,0,100.0,
Amad Diallo,ci CIV,Manchester Utd,22-303,23,17,1639.0,7,0.38,7,0.38,6,0.33,6,0.33,3,0,4.2,93,163,32.6,0.77,0.16,18.0,676,417,192,34,676,417,192,34,676,417,192,34,676,417,192,34,82.9,90.5,85.3,53.1,82.9,90.5,85.3,53.1,82.9,90.5,85.3,53.1,82.9,90.5,85.3,53.1,9329,83,4.56,17,0.93,35,17,35,17,28,28,11,11,0,11,11,1042,13,154,381,523,112,77,49.4,45.5,678,4647,54,48,36,32,731,19,24,9,38,99,9,15,37.5,
Amadou Onana,be BEL,Aston Villa,23-267,23,17,1378.0,3,0.2,3,0.2,0,0.0,0,0.0,4,0,2.1,21,14,35.3,0.39,0.18,14.7,607,312,255,27,607,312,255,27,607,312,255,27,607,312,255,27,88.5,94.3,89.8,73.0,88.5,94.3,89.8,73.0,88.5,94.3,89.8,73.0,88.5,94.3,89.8,73.0,9552,27,1.76,4,0.26,47,14,47,14,24,26,12,14,6,8,24,858,62,233,506,133,21,17,64.7,17.6,468,2424,1,20,10,9,579,30,24,0,1,66,27,18,60.0,
Andreas Pereira,br BRA,Fulham,29-129,31,23,1879.0,2,0.1,2,0.1,4,0.19,4,0.19,7,0,3.5,27,78,22.9,0.38,0.06,22.1,641,296,245,87,641,296,245,87,641,296,245,87,641,296,245,87,68.9,83.6,78.3,41.0,68.9,83.6,78.3,41.0,68.9,83.6,78.3,41.0,68.9,83.6,78.3,41.0,11658,101,4.84,8,0.38,22,10,22,10,12,40,30,16,2,14,8,1096,17,156,446,511,39,29,44.8,27.6,556,2647,8,35,26,21,648,27,23,1,168,97,12,21,36.4,
Andrew Robertson,sct SCO,Liverpool,31-060,31,27,2308.0,0,0.0,0,0.0,0,0.0,0,0.0,3,1,1.0,58,95,15.4,0.08,0.00,14.5,1456,713,623,103,1456,713,623,103,1456,713,623,103,1456,713,623,103,83.0,94.1,86.8,46.8,83.0,94.1,86.8,46.8,83.0,94.1,86.8,46.8,83.0,94.1,86.8,46.8,24521,75,2.92,3,0.12,38,30,38,30,22,47,17,9,4,5,20,1947,86,500,882,578,50,18,38.9,55.6,1028,4511,6,48,25,11,1302,11,8,2,136,91,6,12,33.3,
André,br BRA,Wolves,23-298,30,28,2249.0,0,0.0,0,0.0,0,0.0,0,0.0,7,0,0.4,8,11,11.1,0.04,0.00,25.3,1111,568,431,68,1111,568,431,68,1111,568,431,68,1111,568,431,68,92.8,95.3,95.4,80.0,92.8,95.3,95.4,80.0,92.8,95.3,95.4,80.0,92.8,95.3,95.4,80.0,17503,45,1.8,3,0.12,80,32,80,32,48,57,25,41,8,33,32,1451,83,395,939,132,3,27,48.1,37.0,795,3281,0,14,27,17,973,34,32,0,0,176,2,6,25.0,
André Onana,cm CMR,Manchester Utd,29-038,33,33,2970.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,N/a,0.0,N/a,N/a,920,218,511,186,920,218,511,186,920,218,511,186,920,218,511,186,73.1,99.1,99.0,36.3,73.1,99.1,99.0,36.3,73.1,99.1,99.0,36.3,73.1,99.1,99.0,36.3,21868,4,0.12,0,0.0,1,1,1,1,1,3,2,0,0,0,0,1323,1005,1302,22,0,0,0,N/a,N/a,932,4682,0,0,1,0,810,0,2,0,0,33,6,0,100.0,
Anthony Elanga,se SWE,Nott'ham Forest,23-013,35,28,2232.0,6,0.24,6,0.24,9,0.36,9,0.36,1,0,4.2,87,190,52.5,0.85,0.15,17.3,479,289,127,38,479,289,127,38,479,289,127,38,479,289,127,38,65.2,82.8,64.1,33.0,65.2,82.8,64.1,33.0,65.2,82.8,64.1,33.0,65.2,82.8,64.1,33.0,6909,89,3.59,14,0.57,18,5,18,5,13,17,12,11,1,10,6,1000,29,133,290,594,98,76,30.3,46.1,527,4023,42,42,70,39,672,8,36,15,156,84,24,34,41.4,
Anthony Gordon,eng ENG,Newcastle Utd,24-075,31,25,2235.0,6,0.24,6,0.24,5,0.2,5,0.2,2,0,8.0,111,197,28.6,0.64,0.09,16.8,671,373,226,51,671,373,226,51,671,373,226,51,671,373,226,51,73.3,85.9,78.2,43.2,73.3,85.9,78.2,43.2,73.3,85.9,78.2,43.2,73.3,85.9,78.2,43.2,10367,99,3.99,12,0.48,31,12,31,12,17,34,22,24,2,22,6,1178,16,115,444,638,123,96,36.5,46.9,758,5672,55,56,28,35,851,19,65,8,122,92,6,7,46.2,
Antoine Semenyo,gh GHA,Bournemouth,25-123,34,33,2933.0,9,0.28,9,0.28,5,0.15,5,0.15,9,0,9.3,133,259,31.4,1.14,0.08,17.2,737,442,235,32,737,442,235,32,737,442,235,32,737,442,235,32,73.2,84.7,76.5,38.6,73.2,84.7,76.5,38.6,73.2,84.7,76.5,38.6,73.2,84.7,76.5,38.6,10554,123,3.77,13,0.4,53,16,53,16,34,42,26,59,8,51,10,1503,44,187,526,824,176,125,51.2,41.6,904,6869,65,65,79,72,1041,66,36,14,52,150,61,72,45.9,
Antonee Robinson,us USA,Fulham,27-275,34,33,2989.0,0,0.0,0,0.0,10,0.3,10,0.3,8,0,0.7,114,265,12.5,0.06,0.00,22.1,1523,732,644,128,1523,732,644,128,1523,732,644,128,1523,732,644,128,76.6,86.7,79.0,56.4,76.6,86.7,79.0,56.4,76.6,86.7,79.0,56.4,76.6,86.7,79.0,56.4,26058,77,2.32,11,0.33,90,44,90,44,57,89,45,37,7,30,57,2404,128,765,911,763,67,78,43.6,42.3,1278,7011,29,60,41,18,1440,31,17,6,165,148,45,25,64.3,
Archie Gray,eng ENG,Tottenham,19-059,25,16,1481.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,6,15,100.0,0.06,0.00,24.6,939,360,511,55,939,360,511,55,939,360,511,55,939,360,511,55,88.2,92.3,92.7,59.1,88.2,92.3,92.7,59.1,88.2,92.3,92.7,59.1,88.2,92.3,92.7,59.1,16414,5,0.3,0,0.0,13,7,13,7,7,17,10,19,10,9,13,1179,139,564,537,88,2,11,54.5,36.4,816,3758,0,5,9,10,881,9,11,0,13,59,10,9,52.6,
Arijanet Muric,xk KVX,Ipswich Town,26-184,18,18,1620.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0,0.0,0,0,N/a,0.0,N/a,N/a,454,122,215,115,454,122,215,115,454,122,215,115,454,122,215,115,71.7,100.0,97.3,40.6,71.7,100.0,97.3,40.6,71.7,100.0,97.3,40.6,71.7,100.0,97.3,40.6,11705,1,0.06,0,0.0,0,0,0,0,0,2,2,0,0,0,0,689,559,672,18,0,0,0,N/a,N/a,405,2088,0,0,3,1,321,0,4,0,0,26,11,1,91.7,
Ashley Young,eng ENG,Everton,39-305,29,17,1622.0,1,0.06,1,0.06,3,0.17,3,0.17,6,1,0.3,20,27,50.0,0.17,0.17,24.5,610,292,237,75,610,292,237,75,610,292,237,75,610,292,237,75,69.9,88.0,76.0,40.3,69.9,88.0,76.0,40.3,69.9,88.0,76.0,40.3,69.9,88.0,76.0,40.3,11228,38,2.11,6,0.33,51,32,51,32,29,51,19,10,3,7,23,1043,52,316,452,280,9,15,33.3,46.7,415,2128,1,24,8,1,535,25,18,0,66,61,10,11,47.6,
Axel Tuanzebe,cd COD,Ipswich Town,27-177,19,17,1446.0,0,0.0,0,0.0,1,0.06,1,0.06,5,1,0.2,9,8,0.0,0.0,0.00,15.7,538,296,207,23,538,296,207,23,538,296,207,23,538,296,207,23,83.0,91.1,81.8,56.1,83.0,91.1,81.8,56.1,83.0,91.1,81.8,56.1,83.0,91.1,81.8,56.1,8269,11,0.68,2,0.12,29,16,29,16,17,24,8,18,9,9,21,793,89,343,348,108,6,10,40.0,60.0,339,1508,1,6,11,1,410,13,11,0,6,43,16,16,50.0,
Bart Verbruggen,nl NED,Brighton,22-265,33,33,2970.0,0,0.0,0,0.0,1,0.03,1,0.03,5,0,0.0,0,0,N/a,0.0,N/a,N/a,938,267,442,224,938,267,442,224,938,267,442,224,938,267,442,224,76.9,99.3,98.2,45.9,76.9,99.3,98.2,45.9,76.9,99.3,98.2,45.9,76.9,99.3,98.2,45.9,22231,5,0.15,1,0.03,0,0,0,0,0,3,3,1,0,1,0,1304,1034,1291,13,0,0,2,100.0,0.0,879,3266,1,1,2,0,836,0,2,0,0,58,10,1,90.9,
Ben Davies,wls WAL,Tottenham,32-016,14,12,1126.0,0,0.0,0,0.0,0,0.0,0,0.0,4,0,0.3,14,6,20.0,0.08,0.00,17.0,797,267,445,70,797,267,445,70,797,267,445,70,797,267,445,70,88.0,90.8,94.3,63.1,88.0,90.8,94.3,63.1,88.0,90.8,94.3,63.1,88.0,90.8,94.3,63.1,14950,8,0.64,0,0.0,14,7,14,7,10,14,7,24,16,8,12,1045,178,549,451,45,12,1,100.0,0.0,588,2989,0,10,4,0,699,14,6,0,4,36,47,38,55.3,
Ben Johnson,eng ENG,Ipswich Town,25-106,22,14,1348.0,1,0.07,1,0.07,2,0.13,2,0.13,5,1,1.1,16,33,42.9,0.2,0.14,12.6,296,168,101,24,296,168,101,24,296,168,101,24,296,168,101,24,71.5,86.2,74.8,49.0,71.5,86.2,74.8,49.0,71.5,86.2,74.8,49.0,71.5,86.2,74.8,49.0,4812,23,1.54,5,0.33,38,20,38,20,22,41,21,22,5,17,13,624,60,245,219,163,12,24,33.3,58.3,259,1503,3,12,23,17,290,27,6,1,37,57,19,18,51.4,
Ben White,eng ENG,Arsenal,27-214,14,10,941.0,0,0.0,0,0.0,1,0.1,1,0.1,2,0,0.4,11,28,14.3,0.1,0.00,19.1,449,230,187,22,449,230,187,22,449,230,187,22,449,230,187,22,83.6,92.4,84.6,48.9,83.6,92.4,84.6,48.9,83.6,92.4,84.6,48.9,83.6,92.4,84.6,48.9,7272,16,1.53,1,0.1,13,11,13,11,9,28,17,9,7,2,15,633,46,183,289,165,20,4,0.0,75.0,292,1136,3,11,8,4,375,8,4,1,10,26,15,5,75.0,
Bernardo Silva,pt POR,Manchester City,30-273,30,26,2401.0,3,0.11,3,0.11,4,0.15,4,0.15,7,0,3.2,94,184,35.7,0.37,0.11,12.9,1370,765,503,72,1370,765,503,72,1370,765,503,72,1370,765,503,72,87.1,92.2,88.4,66.7,87.1,92.2,88.4,66.7,87.1,92.2,88.4,66.7,87.1,92.2,88.4,66.7,20876,83,3.11,8,0.3,52,24,52,24,34,52,28,33,7,26,20,1816,48,318,739,777,131,59,45.8,42.4,1137,7253,31,60,21,32,1346,26,29,3,54,93,5,10,33.3,
Bernd Leno,de GER,Fulham,33-067,35,35,3150.0,0,0.0,0,0.0,1,0.03,1,0.03,4,0,0.0,0,0,N/a,0.0,N/a,N/a,1060,210,629,209,1060,210,629,209,1060,210,629,209,1060,210,629,209,81.5,99.5,98.9,47.5,81.5,99.5,98.9,47.5,81.5,99.5,98.9,47.5,81.5,99.5,98.9,47.5,25878,5,0.14,2,0.06,2,2,2,2,2,2,0,1,0,1,0,1364,1097,1354,10,0,0,0,N/a,N/a,892,3629,0,0,0,0,799,0,3,0,0,48,9,0,100.0,
Beto,gw GNB,Everton,27-099,27,12,1268.0,7,0.5,7,0.5,0,0.0,0,0.0,2,0,6.6,12,66,50.0,1.42,0.18,13.2,124,74,34,7,124,74,34,7,124,74,34,7,124,74,34,7,57.1,67.9,50.0,87.5,57.1,67.9,50.0,87.5,57.1,67.9,50.0,87.5,57.1,67.9,50.0,87.5,1676,17,1.21,0,0.0,14,5,14,5,6,8,3,8,1,7,3,429,22,43,188,204,72,32,53.1,43.8,221,1042,9,9,59,33,309,30,18,14,3,30,78,92,45.9,
Bilal El Khannouss,ma MAR,Leicester City,21-000,30,25,2003.0,2,0.09,2,0.09,3,0.13,3,0.13,4,0,1.1,71,83,21.4,0.27,0.07,22.3,735,346,286,86,735,346,286,86,735,346,286,86,735,346,286,86,75.2,86.1,80.6,57.0,75.2,86.1,80.6,57.0,75.2,86.1,80.6,57.0,75.2,86.1,80.6,57.0,13072,66,2.97,5,0.22,46,15,46,15,26,28,13,21,4,17,6,1172,17,166,602,416,33,53,56.6,37.7,679,4188,12,42,36,36,788,28,11,1,83,84,19,20,48.7,
Boubacar Kamara,fr FRA,Aston Villa,25-168,23,17,1463.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0,0.4,16,7,14.3,0.06,0.00,21.1,738,381,313,31,738,381,313,31,738,381,313,31,738,381,313,31,89.2,93.4,91.8,54.4,89.2,93.4,91.8,54.4,89.2,93.4,91.8,54.4,89.2,93.4,91.8,54.4,11638,24,1.48,2,0.12,49,28,49,28,20,54,26,17,7,10,17,991,92,308,572,118,8,24,33.3,33.3,517,2504,1,11,10,15,673,25,28,0,1,73,17,23,42.5,
Boubakary Soumaré,fr FRA,Leicester City,26-072,28,23,1960.0,0,0.0,0,0.0,0,0.0,0,0.0,8,0,0.3,31,21,0.0,0.0,0.00,23.4,985,537,382,38,985,537,382,38,985,537,382,38,985,537,382,38,86.7,92.0,87.6,69.1,86.7,92.0,87.6,69.1,86.7,92.0,87.6,69.1,86.7,92.0,87.6,69.1,14936,34,1.56,3,0.14,33,18,33,18,18,30,12,20,8,12,24,1324,64,352,835,150,17,44,61.4,29.5,788,3636,3,16,20,21,929,21,21,0,8,130,20,9,69.0,
Brennan Johnson,wls WAL,Tottenham,23-352,31,23,2083.0,11,0.48,11,0.48,3,0.13,3,0.13,5,0,9.8,57,194,37.7,0.86,0.21,11.4,438,268,140,11,438,268,140,11,438,268,140,11,438,268,140,11,71.0,80.5,75.7,34.4,71.0,80.5,75.7,34.4,71.0,80.5,75.7,34.4,71.0,80.5,75.7,34.4,5790,46,1.99,7,0.3,39,16,39,16,26,31,15,25,3,22,4,825,16,89,282,466,120,44,43.2,50.0,527,2805,32,21,25,16,609,26,25,12,52,60,7,20,25.9,
Bruno Guimarães,br BRA,Newcastle Utd,27-175,35,35,3002.0,4,0.12,4,0.12,6,0.18,6,0.18,6,0,3.9,54,81,25.6,0.3,0.10,16.3,1334,656,532,104,1334,656,532,104,1334,656,532,104,1334,656,532,104,82.1,90.6,87.5,56.8,82.1,90.6,87.5,56.8,82.1,90.6,87.5,56.8,82.1,90.6,87.5,56.8,22040,121,3.63,17,0.51,75,31,75,31,43,64,33,34,9,25,27,2013,75,409,1035,592,74,75,45.3,32.0,1298,7056,12,40,53,73,1507,57,100,2,25,167,18,17,51.4,
Bruno Fernandes,pt POR,Manchester Utd,30-244,33,32,2758.0,8,0.26,8,0.26,9,0.29,9,0.29,4,2,9.5,65,118,30.1,0.82,0.06,21.9,1522,732,547,190,1522,732,547,190,1522,732,547,190,1522,732,547,190,75.2,86.7,80.4,52.6,75.2,86.7,80.4,52.6,75.2,86.7,80.4,52.6,75.2,86.7,80.4,52.6,26743,169,5.51,12,0.39,76,29,76,29,47,75,46,32,4,28,25,2394,59,398,1130,888,71,65,41.5,49.2,1379,6488,11,60,38,37,1665,26,37,2,172,192,21,28,42.9,
Bryan Mbeumo,cm CMR,Brentford,25-276,35,35,3144.0,18,0.52,18,0.52,6,0.17,6,0.17,3,0,10.8,118,319,42.3,0.86,0.18,17.7,809,445,289,61,809,445,289,61,809,445,289,61,809,445,289,61,66.6,79.0,72.1,37.0,66.6,79.0,72.1,37.0,66.6,79.0,72.1,37.0,66.6,79.0,72.1,37.0,12856,134,3.84,18,0.52,45,18,45,18,29,31,13,24,3,21,14,1633,54,232,517,913,149,99,46.5,41.4,984,6220,68,64,99,40,1109,23,43,11,182,143,34,69,33.0,
Bukayo Saka,eng ENG,Arsenal,23-247,22,18,1539.0,6,0.35,6,0.35,10,0.58,10,0.58,3,0,6.3,82,233,34.5,1.17,0.09,15.5,488,290,141,41,488,290,141,41,488,290,141,41,488,290,141,41,75.2,90.1,73.1,47.7,75.2,90.1,73.1,47.7,75.2,90.1,73.1,47.7,75.2,90.1,73.1,47.7,7524,102,5.97,22,1.29,24,11,24,11,13,22,11,21,0,21,3,875,6,52,192,639,146,84,44.0,41.7,558,3751,45,28,29,38,635,14,38,5,110,65,8,19,29.6,
Caleb Okoli,it ITA,Leicester City,23-301,18,12,1124.0,1,0.08,1,0.08,0,0.0,0,0.0,4,0,0.6,3,2,50.0,0.16,0.25,13.5,558,242,273,36,558,242,273,36,558,242,273,36,558,242,273,36,86.4,91.3,91.0,55.4,86.4,91.3,91.0,55.4,86.4,91.3,91.0,55.4,86.4,91.3,91.0,55.4,9738,4,0.32,0,0.0,25,11,25,11,14,18,7,24,14,10,15,804,152,450,324,35,10,0,N/a,N/a,467,2304,0,6,10,2,483,16,9,0,1,44,23,21,52.3,
Callum Hudson-Odoi,eng ENG,Nott'ham Forest,24-184,29,25,2152.0,5,0.21,5,0.21,2,0.08,2,0.08,2,0,2.5,127,186,45.9,0.71,0.14,18.3,674,396,207,43,674,396,207,43,674,396,207,43,674,396,207,43,82.2,92.1,81.8,51.2,82.2,92.1,81.8,51.2,82.2,92.1,81.8,51.2,82.2,92.1,81.8,51.2,9918,94,3.93,11,0.46,20,11,20,11,14,17,6,11,0,11,13,1005,15,111,324,595,72,62,58.1,29.0,626,5261,45,61,44,23,764,12,22,8,75,91,3,10,23.1,
Calvin Bassey,ng NGA,Fulham,25-130,33,32,2894.0,1,0.03,1,0.03,0,0.0,0,0.0,7,0,1.0,36,15,28.6,0.12,0.07,15.3,1822,770,892,131,1822,770,892,131,1822,770,892,131,1822,770,892,131,89.8,95.1,94.0,61.5,89.8,95.1,94.0,61.5,89.8,95.1,94.0,61.5,89.8,95.1,94.0,61.5,32168,23,0.72,3,0.09,52,21,52,21,33,30,9,37,17,20,18,2317,308,1127,1090,124,19,31,45.2,32.3,1487,7627,5,18,32,8,1620,26,31,2,7,156,40,31,56.3,
Cameron Archer,eng ENG,Southampton,23-293,32,13,1373.0,2,0.13,2,0.13,0,0.0,0,0.0,0,0,5.1,19,64,33.3,0.59,0.07,13.1,189,119,53,5,189,119,53,5,189,119,53,5,189,119,53,5,81.1,85.6,91.4,55.6,81.1,85.6,91.4,55.6,81.1,85.6,91.4,55.6,81.1,85.6,91.4,55.6,2474,17,1.12,0,0.0,11,2,11,2,7,9,7,5,1,4,2,362,16,59,161,145,50,32,43.8,53.1,210,1072,14,9,34,25,256,16,12,7,3,34,8,28,22.2,
Cameron Burgess,au AUS,Ipswich Town,29-201,17,15,1451.0,0,0.0,0,0.0,2,0.12,2,0.12,0,0,0.7,2,4,11.1,0.06,0.00,9.7,590,240,280,62,590,240,280,62,590,240,280,62,590,240,280,62,80.9,90.9,87.0,50.8,80.9,90.9,87.0,50.8,80.9,90.9,87.0,50.8,80.9,90.9,87.0,50.8,10830,13,0.81,3,0.19,15,7,15,7,10,9,2,18,13,5,14,919,221,562,312,47,23,0,N/a,N/a,416,1911,0,4,3,0,539,5,4,1,0,40,43,22,66.2,
